Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield_pct
FDC bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
CMFB bias current,uA,40±10,39.2526,39.1010980232723,39.7714356744241,40.1066045,40.4417733255759,41.1121109767278,40.9287,100.00
Total current,mA,≤2.5,1.54741,1.53384089750791,1.58247293250264,1.60678895,1.63110496749736,1.6797370024921,1.68005,100.00
Total power,mW,≤9,5.10645,5.06167290457914,5.22215966819304,5.30240305,5.38264643180695,5.54313319542086,5.54415,100.00
Output CM error,mV,±25,-3.51543,-4.59979412934594,-1.28022949444865,0.379552823,2.03933514044865,5.35889977534594,5.38053,100.00
LPF input offset,mV,±6,-1.59439e-06,-1.79745088222044e-06,-6.20624311801479e-07,-3.2211026592e-08,5.56202258617479e-07,1.73302882903644e-06,1.81841e-06,100.00
Passband gain,V/V,,0.999665,0.999665717106719,0.999709299035573,0.99973109,0.999752880964427,0.999796462893281,0.999781,
Passband gain error,%,±0.5,-0.0334999999999974,-0.0334282893280616,-0.0290700964426872,-0.0268910000000001,-0.0247119035573129,-0.0203537106719385,-0.0218999999999969,100.00
LPF -1 dB frequency,Hz,≥150,224.388,215.063565318454,244.584648439485,259.34519,274.105731560515,303.626814681546,297.071,100.00
LPF -3 dB frequency,Hz,,439.608,421.321419060665,479.231263020222,508.186185,537.141106979778,595.050950939335,582.188,
CMRR @ 60 Hz,dB,≥80,212.602,160.539124918059,211.541491639353,237.042675,262.543858360647,313.546225081941,318.285,100.00
CMRR @ 150 Hz,dB,≥80,214.149,162.404736078274,212.047628692758,236.869075,261.690521307242,311.333413921726,315.746,100.00
